"","FTSE100_returns_1984-05-08","Nikkei225_returns_1990-09-27","SP500_returns_1982-04-23","US_2Y_Note_returns_1990-06-26","US_30Y_returns_1977-08-24","AUD_returns_1987-01-15","CHF_returns_1975-02-18","GBP_returns_1975-02-18","Copper_returns_1959-07-07","Cotton_returns_1972-08-24","Brent_Crude_returns_1993-03-19","Heating_Oil_returns_bereinigt_1979-03-08","Natural_Gas_returns_1990-04-05","Gold_returns_1975-01-03","Platinum_returns_1969-01-06","Long_Gilt_returns_1990-08-21","US_5Y_Note_returns_1988-05-24","US_10Y_returns_1982-05-05"
"1997-02-25",0.0805255382294754,-0.0285395644572572,0.208089212298269,1.58348147031351,-0.262275761549153,0.0545921539348584,-0.00155816150225746,0.138122256019429,0.0341153269082561,0.0670755789607216,0.0933645067175853,-0.0308034070146664,-0.00999913407173058,-0.126781360389382,0.0761110800650266,0.0387994967686036,-2.36416035468945,1.44984112345815
"1997-02-26",0.08229498368035,-0.0279144618202078,0.215661888231344,1.57348956564185,-0.272834491311145,0.0533172153325734,-0.00343810349006736,0.144719867782137,0.0344040689720205,0.070195616722495,0.0973140081637688,-0.0319316064268121,-0.00995184395773435,-0.133197709438876,0.0822405160720523,0.04108229283987,-2.40796492218493,1.49251311519132
"1997-02-27",0.0838106011617428,-0.0296338422187085,0.216234784806094,1.61296981505376,-0.283529343692757,0.0514916802948273,-0.0100003831770435,0.151109154559041,0.0363971973623597,0.0715851265876808,0.0999723877250068,-0.0338316744231611,-0.00989452077932506,-0.141997190907626,0.0892197283133639,0.041443620214201,-2.48624774390977,1.54090060303031
"1997-02-28",0.0832500036604164,-0.0276777842704168,0.203644461370662,1.60819989175447,-0.266510659810414,0.0516272885925493,-0.00528090094115445,0.141000409338716,0.034489886670379,0.0697626342802553,0.0983574851400975,-0.0345624134134163,-0.0100786109795439,-0.14020927776521,0.0956509628654964,0.0465130961384335,-2.44335306175735,1.49517658912603
"1997-03-03",0.0872253730101108,-0.032638268649469,0.215789029059832,1.58872325202501,-0.281144710112895,0.0558837358280383,-0.0115060403486269,0.15583115692953,0.0368414231231458,0.0736109073595437,0.102478171723585,-0.0367416071800123,-0.0107214067700813,-0.134562075621073,0.0947983093728058,0.0423619252379126,-2.53247988510752,1.58625071012016
"1997-03-04",0.086429735985906,-0.0326683056508609,0.219419771544476,1.57798079259209,-0.292043311820831,0.0642806071149533,-0.00659266861995529,0.148071578322789,0.0380781020954809,0.0733911349432778,0.102981187559614,-0.0371515074839531,-0.0108836057760259,-0.133173568397421,0.090384427772575,0.0442378283047966,-2.5350439481161,1.60230174962919
"1997-03-05",0.0883705830897533,-0.0316015079039572,0.212147776305804,1.58772847087598,-0.28496118447036,0.0650157539360929,-0.0071282354378884,0.144514578387693,0.0369392637972107,0.0709237984916319,0.104231564730731,-0.0395721859485042,-0.00924540171635116,-0.135922432639395,0.0899750958879979,0.0406198741092304,-2.4888088667526,1.55677305525693
"1997-03-06",0.09412705128793,-0.033909241202275,0.227625530908555,1.57637369362283,-0.30058930826026,0.0656153102011575,-0.00619320537138306,0.14965426470349,0.0370593460316061,0.0747780076600058,0.109751273915546,-0.0423550174599465,-0.0103837003519817,-0.149737721337773,0.0958520398239804,0.0365668481968219,-2.51688999680989,1.59265482444158
"1997-03-07",0.0977845812742143,-0.0372548369923601,0.227950873034113,1.56620281988117,-0.305239704589536,0.0680472801931287,-0.00728713748501081,0.151658869074514,0.0381142744361789,0.0761594754913985,0.11053564546006,-0.041749666862289,-0.0102523074141246,-0.15619382260092,0.0998346164329684,0.0358698957490554,-2.5126227220745,1.59844186699195
"1997-03-10",0.0974326415956738,-0.0358933394382321,0.227795347125286,1.57236027202015,-0.306576746823585,0.0689952374970188,-0.001429804584872,0.141625616605068,0.0373808353269373,0.076424659760609,0.110243062103815,-0.041318474776039,-0.00964901770273232,-0.153676101629264,0.0938003594660371,0.0339312758979579,-2.50812985764137,1.59668403519753
"1997-03-11",0.096659692767845,-0.034623455911994,0.22997015307006,1.57468610527607,-0.301195314201785,0.0684158827597318,0.00218225871415563,0.138090209114774,0.0357326040487599,0.0767491148853924,0.107137580369189,-0.0409497791666468,-0.00936041138488915,-0.149236082885626,0.0944505521435616,0.0356719628507861,-2.51054100686638,1.58615993441699
"1997-03-12",0.0941128198869954,-0.0328245938065759,0.216614951536609,1.56696059650268,-0.281241052576675,0.0687220647458125,0.000852486926165365,0.133753011731827,0.0342615866373567,0.0728025100236015,0.102247211441942,-0.0395865954536975,-0.0090581650038811,-0.141396755815204,0.0911224364117733,0.0316385384875118,-2.40392500943915,1.49494395776291
"1997-03-13",0.096075760132836,-0.034104019208283,0.218206504999625,1.57466632422661,-0.300295563727667,0.0779526756171513,0.01425486056722,0.121948034899391,0.0341189619963911,0.0720460286981603,0.104685942720423,-0.0383902694723809,-0.00918390600997991,-0.149661956720105,0.0926532737359082,0.0339453169660019,-2.4782983224847,1.56938035306339
"1997-03-14",0.0996344074635839,-0.038035866911181,0.218546773494153,1.59674104234503,-0.305877713015197,0.076477659344047,0.00555142911830078,0.131700127866263,0.0355001181033257,0.0734544294542918,0.107918097299157,-0.0391512180393771,-0.00969030586933968,-0.154907994360408,0.0973584995044126,0.0351229032209442,-2.52913447830315,1.59879208928514
"1997-03-17",0.097523438241197,-0.0355686178317997,0.213540810763617,1.584271000154,-0.292759853460438,0.0779305434424149,0.00931967643546469,0.126137324230842,0.0354680213199202,0.071175929563297,0.104678658655657,-0.0367728618896457,-0.00955651523265691,-0.150791451407267,0.0927975312467481,0.0328012593344291,-2.46076968747123,1.54057479390545
"1997-03-18",0.0993454034212954,-0.0363104433508061,0.222770150967164,1.605030985554,-0.30269092318681,0.0781422836091498,0.0114686242070145,0.123572024443596,0.0357203128566243,0.0730464991569152,0.10897276717489,-0.0395932663099842,-0.0105059644716292,-0.168282838005077,0.101468887511149,0.0298898041067724,-2.50390259189049,1.57185828420623
"1997-03-19",0.101779171195914,-0.0321742552864887,0.217544052579936,1.59962265438859,-0.294051313045093,0.0755372465839324,0.0223563790470877,0.11741680541379,0.0357959031705729,0.0723469257445718,0.112505830229091,-0.0385994033848398,-0.0111734431406965,-0.155998516764666,0.0918173616104454,0.0287718077207318,-2.51549923501029,1.57200202894741
"1997-03-20",0.101068089065043,-0.0315454127885437,0.215417222085973,1.61790607255684,-0.29805593753347,0.0716298896761522,0.01560162745623,0.126009599822973,0.035578966910909,0.0717285465914565,0.112582817339063,-0.0390550436817377,-0.0109275980485326,-0.153761937207646,0.0938519490307171,0.0224602320152115,-2.55260455330712,1.60211547001649
"1997-03-21",0.0960013047953915,-0.032760718071717,0.218604820808344,1.64407575140796,-0.288441688508898,0.0735804241121006,0.0126947863077955,0.128659920304331,0.0384352817588428,0.0741591024294285,0.115236586533939,-0.0401955348384338,-0.0110881188562014,-0.158549329752032,0.0963702214866261,0.0255605833584408,-2.62240356516601,1.63006017189009
"1997-03-24",0.100293124571178,-0.0337925396706346,0.238468703473353,1.6277974640044,-0.310869629976545,0.0753583595961751,0.00724864054275141,0.149061849633548,0.0430206459553452,0.0782732003826735,0.122782260768763,-0.0418795969227855,-0.012880091142263,-0.166503945721804,0.102208116054222,0.0320924814621362,-2.75932144482062,1.74864240181011
"1997-03-25",0.100224220751265,-0.0373606632129166,0.253055947422051,1.60419128417993,-0.326275703771096,0.0805426578157113,0.00206595916358131,0.163344754610866,0.0437708547618735,0.0816508855585277,0.124631683327,-0.0417824132929177,-0.0136341956139908,-0.175091116506725,0.104826378819919,0.0362167847569447,-2.79408197298417,1.79370465421414
"1997-03-26",0.110553546842328,-0.0374415835765086,0.256156283034808,1.65392897694056,-0.332796091981801,0.0749649252696365,-0.00125654471994073,0.174308012726047,0.0473379331194549,0.0822318911220177,0.126521115240972,-0.040168360830649,-0.0138879602326345,-0.184164932156916,0.107652779068127,0.0354801656446964,-2.93967543653004,1.88025528101984
"1997-03-27",0.114951988564416,-0.0372936505032615,0.259999136484116,1.64441581054868,-0.336238873537682,0.0758662505651039,-0.00521439646162953,0.182779684315598,0.0452592546177455,0.0827384051421856,0.128073941816546,-0.0435443867957219,-0.0135402179960469,-0.177831581987007,0.106423391377293,0.0296319054146504,-2.94123116831013,1.88475450674514
"1997-03-31",0.122843173564706,-0.039965544393505,0.24643168857502,1.65525985169717,-0.341742578674524,0.0800020505380963,0.00380155990187359,0.179762138063871,0.0477558319526674,0.0847675705597357,0.130403709147111,-0.0435106239077009,-0.013365297543985,-0.182899014831564,0.104147233847203,0.0295677004951678,-2.98168243256545,1.91842298357411
"1997-04-01",0.118678011633692,-0.0394816807872296,0.213495105505691,1.67413438575775,-0.31212823488255,0.0790707446206082,-0.00259264911051381,0.176963076154853,0.0458420654899558,0.0761233512403462,0.124251037498416,-0.0433911933927365,-0.012438728148302,-0.157696111190359,0.0862208278796164,0.0223139970648492,-2.86730747467548,1.81794346934139
"1997-04-02",0.115479789908511,-0.038926741479104,0.218745658612177,1.66585604760273,-0.317062001313208,0.0776269674112045,-0.00413441043244741,0.182979074691951,0.0448200014127172,0.0767231307311501,0.123259250272114,-0.043335012927851,-0.0127230760811407,-0.1609422694241,0.0909673020168016,0.0193825599083878,-2.86761870377239,1.8289024328625
"1997-04-03",0.117487180431463,-0.0367163802586947,0.207543967101212,1.68293151188189,-0.32318909670543,0.080497176850554,-0.00222227137783391,0.181080046253881,0.0465980529339839,0.0801874335690278,0.123862362726906,-0.0454834615102347,-0.0132012499321004,-0.16992358305207,0.0916938195031582,0.0239698025075033,-2.92809138167656,1.88297607075334
"1997-04-04",0.115245480289113,-0.0354432301924614,0.207814494363251,1.71395987018362,-0.326708197715494,0.0723904748825589,0.00199199825709852,0.176598535907353,0.0416806417565894,0.0794687547767357,0.115547647775347,-0.0388277197103194,-0.012551189679816,-0.163036616707188,0.0859626874931292,0.0227782531421842,-2.9488255535074,1.89195366868569
"1997-04-07",0.115854110818415,-0.0370677455325873,0.220119401359643,1.72328662393546,-0.351391904621758,0.0708608284236012,0.0012212628763401,0.174461715340577,0.0436309261930902,0.0812825160321365,0.111633010123335,-0.0354808628617556,-0.0122403777122834,-0.155577554361068,0.078315038300592,0.0258881197362495,-2.99844702211979,1.9436519140698
"1997-04-08",0.118422039654846,-0.0394674255119272,0.21988330696206,1.73923239560777,-0.341052059076378,0.0696935883368039,-0.00803869187711878,0.179640897029874,0.0404746284957659,0.0811062966421495,0.111751902355256,-0.0358242260084122,-0.0121724614797722,-0.162103479903532,0.0857897569864158,0.024381448625974,-2.99793331257559,1.92621539573581
